Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,20,Zotti,Stefan,Dr.,1976,Geschäftsführer,1160,Wien,9,9A
NEOS,21,Swatek,Niko,BSc,1991,Student,8041,Graz,6,6A
NEOS,22,Amon-Konrath,Cornelia,Mag.,1980,Bundesbedienstete,1170,Wien,1,1B
NEOS,23,Arlamovsky,Karl-Arthur,MMag. Dr.,1972,Rechtsanwalt,1190,Wien,9,9F
NEOS,24,Eypeltauer,Felix,Mag.,1992,Jurist,4020,Linz,4,4A
NEOS,25,Seidl,Julia,Mag.,1981,Unternehmerin,6020,Innsbruck,7,7A
NEOS,26,Leitgeb,Andreas,\N,1962,Polizeibeamter,6142,Mieders,7,7B
NEOS,27,Bitschnau,Christian,BA MA,1991,Angestellter,6800,Feldkirch,8,8B
NEOS,28,Alkan,Engin,\N,1975,Selbstständig,1100,Wien,9,9D
NEOS,29,Albeseder,Werner,Mag. Dr.,1953,Steuerberater,1190,Wien,9,9E
NEOS,30,Leitner-Rauchdobler,Elisabeth,Mag.,1970,Reisebüroinhaberin,4040,Linz,4,4A
NEOS,31,Trippl,Sarah,BA,1992,"Studentin, Fachreferentin",8863,Stadl-Predlitz,6,6D
NEOS,32,Lenzenhofer,Nico,\N,1995,Angestellter,1110,Wien,9,9D
NEOS,33,Watzl,Christian,Mag. (FH),1974,Marketing & Sales Manager,3143,Pyhra,3,3D
NEOS,34,Schobesberger,Stefan,\N,1987,Angestellter und Student,4020,Linz,4,4A
NEOS,35,Kollermann,Edith,Mag.,1964,Steuerberaterin,2384,Breitenfurt,3,3F
NEOS,36,Berghofer,Dominik,\N,1992,Unternehmer,8230,Hartberg,6,6B
NEOS,37,Djawadi,Darius-Angelo,\N,1997,Zivildienstleistender,3400,Klosterneuburg,3,3D
NEOS,38,Scheyer,Matthias,Dr.,1956,Chirurg,6800,Feldkirch,8,8B
NEOS,39,Wakounig,Svetlana,Mag.,1992,Wissenschaftliche Mitarbeiterin,9071,Köttmannsdorf,2,2A
NEOS,40,Wolf,Katharina,\N,1990,Studentin,4040,Linz,4,4E
NEOS,41,Pipal-Leixner,Angelika,"Mag., MBA",1978,Angestellte,1190,Wien,9,9F
NEOS,42,Sklenka,Herbert,\N,1958,"Schriftsteller, Journalist",4020,Linz,4,4A
NEOS,43,Dornach,Karlheinz,\N,1974,IT-Manager,7000,Eisenstadt,1,1A
NEOS,44,Jusic,Elma,\N,1996,Studentin,1160,Wien,4,4C
NEOS,45,Svoboda,Beatrice,Mag.,1970,Lehrerin,1220,Wien,6,6D
NEOS,46,Sumah-Vospernik,Manuela Anna,Dr.,1974,Rechtsanwältin,1180,Wien,9,9F
